id;adresas;namo_valdytojas;valdymo_forma;paskyrimo_pagrindas;administratoriaus_pabaigos_Data;paskirtis;uni_nr;bendr_plotas;naud_plotas;build_year;renov_metai;renovacijos_statusas;energ_naudingumo_klase;butu_skaicius;negyvenamuju_palapu_skaicius;korpusas;sklypo_plotas
3457;Smalinės g. 25;UAB Naujoji Pilaitė;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1099-5012-6010;1399.52;1112.49;1995;;Nerenovuotas;E;20;0;1A5b;0.00
3458;Tolminkiemio g. 11 (35-70);UAB Naujoji Pilaitė;Administravimas;2012-07-20 Nr. 30-1520;;Gyvenamoji (trys ir daugiau butų);1099-4047-5016;4465.43;2006.35;1994;;Nerenovuotas;F;36;0;1A9b;0.00
3459;Tolminkiemio g. 15;UAB Naujoji Pilaitė;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1099-3039-7018;4216.13;4204.29;1993;;Nerenovuotas;G;76;0;1A9b;0.00
3460;Tolminkiemio g. 17;;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1099-1021-6012;6328.04;5617.71;1998;;Nerenovuotas;F;91;1;1A9b;0.00
3461;Tolminkiemio g. 19;;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1099-8009-7010;4746.38;4316.10;1998;;Nerenovuotas;F;72;0;1A9b;0.00
3462;Vydūno g. 13;UAB Naujoji Pilaitė;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1099-2010-5017;1354.28;1078.29;1992;;Nerenovuotas;F;20;0;1A5b;0.00
3463;Vydūno g. 14 (36-65);UAB Naujoji Pilaitė;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1099-4020-5010;5012.62;2203.20;1994;;Nerenovuotas;F;29;1;1A5b;0.00
3464;Vydūno g. 15;UAB Naujoji Pilaitė;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1099-2010-6014;4484.60;3500.90;1992;;Nerenovuotas;F;64;1;1A9b;0.00
3465;Vydūno g. 17;UAB Naujoji Pilaitė;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1099-2018-8012;8793.40;7831.54;1992;;Nerenovuotas;F;138;4;1A9b;0.00
3466;Vydūno g. 19;UAB Naujoji Pilaitė;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1099-4039-4018;6087.14;5758.94;1994;;Nerenovuotas;F;104;4;1A9b;0.00
3467;Vydūno g. 20;UAB Naujoji Pilaitė;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1300-1036-1028;3295.08;2312.33;2001;;Nerenovuotas;D;40;3;1A6p;0.00
3468;Vydūno g. 6;UAB Naujoji Pilaitė;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1099-5020-6012;4971.05;4519.08;1995;;Nerenovuotas;F;71;0;1A5b;0.00
3469;I. Simonaitytės g. 3;UAB Naujoji Pilaitė;Administravimas;2017-03-09 Nr. 30-4747;2022-03-09;Gyvenamoji (trys ir daugiau butų);4400-1452-5749;2400.18;2131.66;2008;;Nerenovuotas;B;36;0;2A4/p;0.50
3470;Gabijos g. 23;UAB Pašilaičių būstas;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-7003-0010;8773.18;7791.94;1987;;Nerenovuotas;;120;0;1A9b;0.00
3471;Gabijos g. 25;UAB Pašilaičių būstas;Administravimas;2018-10-30 Nr. 30-3380/18(2.1.1E-TD2);2023-10-30;Gyvenamoji (trys ir daugiau butų);1098-7003-1019;2538.92;1966.90;1988;;Nerenovuotas;;36;0;1A5b;0.00
3472;Gabijos g. 27;;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-7003-2016;2370.75;1912.59;1987;;Nerenovuotas;;32;0;1A9b;0.00
3473;Gabijos g. 29;;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-7003-3013;1182.45;893.12;1987;;Nerenovuotas;;16;0;1A5b;0.00
3474;Gabijos g. 30;;Administravimas;;;Prekybinis - administracinis pastatas su gyvenamomis patalpomis;4400-0359-0405;8701.16;5012.06;2000;;Nerenovuotas;C;72;4;3E9g;0.00
3475;Gabijos g. 33;;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-7003-5019;2528.57;1961.93;1987;;Nerenovuotas;;36;0;1A5b;0.00
3476;Gabijos g. 35;;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-7003-6016;2566.40;2051.46;1987;;Nerenovuotas;;34;1;1A5b;0.00
3477;Gabijos g. 37;;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-7003-7013;2367.91;1912.59;1987;;Nerenovuotas;;32;0;1A9b;0.00
3478;Gabijos g. 39;;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-7003-8010;7868.94;7083.38;1987;;Nerenovuotas;;107;1;1A9b;0.00
3479;Gabijos g. 41;UAB Pašilaičių būstas;Administravimas;2018-12-10 Nr. 30-3768/18(2.1.1E-TD2);2023-12-11;Gyvenamoji (trys ir daugiau butų);1098-7003-9019;2532.00;2009.75;1987;;Nerenovuotas;;35;1;1A5b;0.00
3480;Gabijos g. 43;UAB Pašilaičių būstas;Administravimas;2018-10-30 Nr. 30-3380/18(2.1.1E-TD2);2023-10-30;Gyvenamoji (trys ir daugiau butų);1098-8003-8015;1175.75;893.12;1988;;Nerenovuotas;;16;0;1A5b;0.00
3481;Gabijos g. 45;UAB Pašilaičių būstas;Administravimas;2018-10-30 Nr. 30-3380/18(2.1.1E-TD2);2023-10-30;Gyvenamoji (trys ir daugiau butų);1098-7004-0018;2369.13;1912.59;1987;;Nerenovuotas;;32;0;1A9b;0.00
3482;Gabijos g. 47;;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-7004-1015;7847.99;6543.54;1987;;Nerenovuotas;;108;0;1A9b;0.00
3483;Gabijos g. 49;UAB Pašilaičių būstas;Administravimas;2018-12-10 Nr. 30-3768/18(2.1.1E-TD2);2023-12-11;Gyvenamoji (trys ir daugiau butų);1098-7004-2012;3444.29;2783.63;1987;;Nerenovuotas;;48;0;1A9b;0.00
3484;Gabijos g. 57;UAB Pašilaičių būstas;Administravimas;2018-12-10 Nr. 30-3768/18(2.1.1E-TD2);2023-12-11;Gyvenamoji (trys ir daugiau butų);1098-7004-6012;3990.01;3105.78;1987;;Nerenovuotas;;56;0;1A5b;0.00
3485;Gabijos g. 59;UAB Pašilaičių būstas;Administravimas;2018-10-30 Nr. 30-3380/18(2.1.1E-TD2);2023-10-30;Gyvenamoji (trys ir daugiau butų);1098-7004-7010;2781.19;2278.71;1987;;Nerenovuotas;;39;1;1A5b;0.00
3486;Gabijos g. 61;;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-7004-8018;2773.31;2194.35;1987;;Nerenovuotas;;40;0;1A5b;0.00
3487;Gabijos g. 63;;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-7004-9015;2772.65;2319.29;1987;;Nerenovuotas;;40;0;1A5b;0.00
3488;Gabijos g. 65;;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-7005-0014;2782.77;2205.77;1987;;Nerenovuotas;;40;0;1A5b;0.00
3489;Gabijos g. 67;;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-7005-1011;2771.59;2196.30;1987;;Nerenovuotas;;40;0;1A5b;0.00
3490;Gabijos g. 69;UAB Pašilaičių būstas;Administravimas;2018-10-30 Nr. 30-3380/18(2.1.1E-TD2);2023-10-30;Gyvenamoji (trys ir daugiau butų);1098-7005-2016;4155.07;3293.50;1987;;Nerenovuotas;;60;0;1A5b;0.00
3491;Gabijos g. 71;UAB Pašilaičių būstas;Administravimas;2018-10-30 Nr. 30-3380/18(2.1.1E-TD2);2023-10-30;Gyvenamoji (trys ir daugiau butų);1098-7005-3017;3314.81;2562.34;1987;;Nerenovuotas;;56;0;1A5b;0.00
3492;Laisvės pr. 113;;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1099-1003-3011;4120.68;3244.80;1991;;Nerenovuotas;;60;0;1A5b;0.00
3493;Laisvės pr. 87;;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1099-1002-9012;2480.75;2007.45;1991;;Nerenovuotas;D;36;0;1A9b;0.00
3494;Laisvės pr. 89;;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-7008-2016;4927.12;3935.15;1987;;Nerenovuotas;;60;0;1A5b;0.00
3495;Laisvės pr. 93;UAB Pašilaičių būstas;Administravimas;2018 m. rugpjūčio 30 d. Nr. 30-2901;2023-08-30;Gyvenamoji (trys ir daugiau butų);1099-0005-9016;3959.57;2818.55;1990;;Nerenovuotas;;72;0;1A9p;0.00
3496;Laisvės pr. 95;;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1099-0006-0015;4099.63;3708.73;1990;;Nerenovuotas;;72;0;1A9p;0.00
3497;Laisvės pr. 97;;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-9004-7019;3648.78;3251.66;1989;;Nerenovuotas;;72;0;1A9pb;0.00
3498;Laisvės pr. 99;;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-9004-8016;3650.14;2827.53;1989;;Nerenovuotas;;72;0;1A9pb;0.00
3499;Medeinos g. 15;UAB Pašilaičių būstas;Administravimas;2018-10-30 Nr. 30-3380/18(2.1.1E-TD2);2023-10-30;Gyvenamoji (trys ir daugiau butų);1098-7009-7013;6210.42;5012.34;1987;;Nerenovuotas;;84;0;1A9b;0.00
3500;Medeinos g. 23;;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-6006-9014;6049.58;4880.09;1986;;Nerenovuotas;;84;0;1A9b;0.00
3501;Medeinos g. 25;;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-6007-0013;6170.67;5326.70;1986;;Nerenovuotas;;82;2;1A9b;0.00
3502;Medeinos g. 43;UAB Pašilaičių būstas;Administravimas;2018 m. birželio 8 d. Nr. 30-2016/18;2023-06-08;Gyvenamoji (trys ir daugiau butų);1098-7010-4017;6020.43;4888.72;1987;;Nerenovuotas;;84;0;1A9b;0.00
3503;Medeinos g. 45;UAB Pašilaičių būstas;Administravimas;2018-10-30 Nr. 30-3380/18(2.1.1E-TD2);2023-10-30;Gyvenamoji (trys ir daugiau butų);1098-6007-2019;6313.70;5547.40;1986;;Nerenovuotas;;90;1;1A9b;0.00
3504;Pašilaičių g. 18;UAB Pašilaičių būstas;Administravimas;2018 m. birželio 4 d. Nr. 30-1952/18;2023-06-04;Gyvenamoji (trys ir daugiau butų);1098-8006-3018;5698.12;4253.47;1988;;Nerenovuotas;;72;0;1A9t;0.00
3505;Pašilaičių g. 18;UAB Pašilaičių būstas;Bendrija;;;Gyvenamoji (trys ir daugiau butų);1098-8006-3038;1356.99;1059.12;1989;;;;12;0;3A3t;0.00
3506;Pašilaičių g. 18;UAB Pašilaičių būstas;Bendrija;;;Gyvenamoji (trys ir daugiau butų);1098-8006-3029;1422.86;1046.92;1988;;;;12;1;2A3t;0.00
3507;Žemynos g. 1;UAB Pašilaičių būstas;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-8012-5011;6701.06;5538.02;1988;;Nerenovuotas;D;60;8;1A16t;0.00
3508;Žemynos g. 19;UAB Pašilaičių būstas;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-6013-5010;5025.16;4533.46;1986;;Nerenovuotas;;68;0;1A9b;0.00
3509;Žemynos g. 23;UAB Pašilaičių būstas;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-6013-7015;3835.25;3287.50;1986;;Nerenovuotas;;51;0;1A9b;0.00
3510;Žemynos g. 43;UAB Pašilaičių būstas;Administravimas;2018-10-30 Nr. 30-3380/18(2.1.1E-TD2);2023-10-30;Gyvenamoji (trys ir daugiau butų);1098-6014-5017;6134.43;5392.73;1986;;Nerenovuotas;;84;1;1A9b;0.00
3511;Žemynos g. 45;UAB Pašilaičių būstas;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-7015-8010;3533.81;2816.92;1987;;Nerenovuotas;;48;0;1A9b;0.00
3512;Žemynos g. 51;UAB Pašilaičių būstas;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-6014-8012;3869.41;3332.56;1986;;Nerenovuotas;;51;1;1A9b;0.00
3513;Žemynos g. 6;UAB Pašilaičių būstas;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-8012-6012;5665.44;5122.50;1988;;Nerenovuotas;;72;0;1A9t;0.00
3514;Žemynos g. 6;UAB Pašilaičių būstas;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-8012-6026;1242.22;984.45;1988;;Nerenovuotas;;12;0;2A3b;0.00
3515;Žemynos g. 6;UAB Pašilaičių būstas;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-8012-6030;1043.70;1043.70;1988;;Nerenovuotas;;12;0;3A3t;0.00
3516;Žemynos g. 8;UAB Pašilaičių būstas;Administravimas;2018-10-30 Nr. 30-3380/18(2.1.1E-TD2);2023-10-30;Gyvenamoji (trys ir daugiau butų);1098-8012-7039;1357.50;1009.24;1988;;Nerenovuotas;;12;0;3A3b;0.00
3517;Žemynos g. 8;UAB Pašilaičių būstas;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-8012-7017;5719.36;4265.03;1988;;Nerenovuotas;;72;0;1A9t;0.00
3518;Žemynos g. 8;UAB Pašilaičių būstas;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-8012-7028;1455.89;1016.19;1988;;Nerenovuotas;;12;0;2A3t;0.00
3519;Medeinos 41;UAB Pašilaičių būstas;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1098-6007-1010;6144.41;4973.87;1986;;Nerenovuotas;;86;0;1A9b;0.00
3520;A. Kojelavičiaus g. 104;UAB Priemiestis;Administravimas;2012-12-29 d. Nr. 30-2822;;Gyvenamoji (trys ir daugiau butų);1094-0091-9015;164.94;164.94;1940;;Nerenovuotas;;4;0;1A1m;0.15
3521;A. Kojelavičiaus g. 105;UAB Priemiestis;Administravimas;2018-12-18 Nr. 30-3860/18(2.1.1E-TD2);2023-12-18;Gyvenamoji (trys ir daugiau butų);1095-2001-3012;586.36;476.06;1952;;Nerenovuotas;;10;0;1A2p;0.00
3522;A. Kojelavičiaus g. 108;UAB Priemiestis;Administravimas;2018-12-18 Nr. 30-3860/18(2.1.1E-TD2);2023-12-18;Gyvenamoji (trys ir daugiau butų);1094-0092-2012;83.49;83.49;1940;;Nerenovuotas;;3;0;1A1m;0.00
3523;A. Kojelavičiaus g. 114;UAB Priemiestis;Administravimas;2018-12-18 Nr. 30-3860/18(2.1.1E-TD2);2023-12-18;Gyvenamoji (trys ir daugiau butų);1094-0092-7017;95.65;90.06;1940;;Nerenovuotas;;4;0;1A1m;0.00
3524;A. Kojelavičiaus g. 120;UAB Priemiestis;Administravimas;2018-12-18 Nr. 30-3860/18(2.1.1E-TD2);2023-12-18;Gyvenamoji (trys ir daugiau butų);1094-0093-2016;268.63;268.63;1940;;Nerenovuotas;;4;0;1A2m;0.00
3525;A. Kojelavičiaus g. 122;UAB Priemiestis;Administravimas;2018-12-18 Nr. 30-3860/18(2.1.1E-TD2);2023-12-18;Gyvenamoji (trys ir daugiau butų);1094-0093-4010;84.41;84.41;1940;;Nerenovuotas;;3;0;1A1m;0.00
3526;A. Kojelavičiaus g. 130;UAB Priemiestis;Administravimas;2018-12-18 Nr. 30-3860/18(2.1.1E-TD2);2023-12-18;Gyvenamoji (trys ir daugiau butų);1094-0094-0018;130.88;130.88;1940;;Nerenovuotas;;3;0;1A1m;0.00
3527;A. Kojelavičiaus g. 133;UAB Antakalnio būstas;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1094-0094-3014;670.27;217.33;1940;;Nerenovuotas;;6;1;1A2p;0.00
3528;A. Kojelavičiaus g. 135;UAB Priemiestis;Administravimas;2018-12-18 Nr. 30-3860/18(2.1.1E-TD2);2023-12-18;Gyvenamoji (trys ir daugiau butų);1094-0094-5015;239.46;239.46;1940;;Nerenovuotas;;5;0;1A1m;0.00
3529;A. Kojelavičiaus g. 137;UAB Priemiestis;Administravimas;2018-12-18 Nr. 30-3860/18(2.1.1E-TD2);2023-12-18;Gyvenamoji (trys ir daugiau butų);1094-0094-7018;197.77;197.77;1940;;Nerenovuotas;;6;0;1A1m;0.00
3530;A. Kojelavičiaus g. 139;UAB Priemiestis;Administravimas;2018-12-18 Nr. 30-3860/18(2.1.1E-TD2);2023-12-18;Gyvenamoji (trys ir daugiau butų);1094-0094-9015;203.44;203.44;1940;;Nerenovuotas;;5;0;1A1m;0.14
3531;A. Kojelavičiaus g. 141;UAB Priemiestis;Administravimas;2018-12-18 Nr. 30-3860/18(2.1.1E-TD2);2023-12-18;Gyvenamoji (trys ir daugiau butų);1094-0095-0014;140.06;95.76;1940;;Nerenovuotas;;4;0;1A1m;0.05
3532;A. Kojelavičiaus g. 142;UAB Priemiestis;Administravimas;2012-12-29 d. Nr. 30-2822;;Gyvenamoji (trys ir daugiau butų);1094-0095-1011;137.13;137.13;1940;;Nerenovuotas;;3;0;1A1m;0.19
3533;A. Kojelavičiaus g. 145;UAB Priemiestis;Administravimas;2018-12-18 Nr. 30-3860/18(2.1.1E-TD2);2023-12-18;Gyvenamoji (trys ir daugiau butų);1094-0095-3017;301.26;301.26;1940;;Nerenovuotas;;7;0;1A2p;0.00
3534;A. Kojelavičiaus g. 149;UAB Priemiestis;Administravimas;2018-12-18 Nr. 30-3860/18(2.1.1E-TD2);2023-12-18;Gyvenamoji (trys ir daugiau butų);1094-0095-6016;247.10;247.10;1940;;Nerenovuotas;;5;0;1A1m;0.00
3535;A. Kojelavičiaus g. 150;UAB Priemiestis;Administravimas;2018-12-18 Nr. 30-3860/18(2.1.1E-TD2);2023-12-18;Gyvenamoji (trys ir daugiau butų);1094-0095-7017;120.02;120.02;1940;;Nerenovuotas;;3;0;1A1m;0.14
3536;A. Kojelavičiaus g. 155;UAB Priemiestis;Administravimas;2018-12-18 Nr. 30-3860/18(2.1.1E-TD2);2023-12-18;Gyvenamoji (trys ir daugiau butų);1094-0096-0010;173.13;173.13;1940;;Nerenovuotas;;4;0;1A1m;0.00
3537;A. Kojelavičiaus g. 180;UAB Priemiestis;Administravimas;2018-12-18 Nr. 30-3860/18(2.1.1E-TD2);2023-12-18;Gyvenamoji (trys ir daugiau butų);1094-0096-9019;327.60;180.55;1940;;Nerenovuotas;;4;1;1A1m;0.00
3538;A. Kojelavičiaus g. 194;UAB Priemiestis;Administravimas;2018-12-18 Nr. 30-3860/18(2.1.1E-TD2);2023-12-18;Gyvenamoji (trys ir daugiau butų);1094-0097-5015;139.86;84.49;1940;;Nerenovuotas;;3;0;1A1m;0.12
3539;A. Kojelavičiaus g. 198;UAB Priemiestis;Administravimas;2018-12-18 Nr. 30-3860/18(2.1.1E-TD2);2023-12-18;Gyvenamoji (trys ir daugiau butų);1094-0097-7018;336.36;336.36;1940;;Nerenovuotas;;8;0;1A1m;0.00
3540;A. Kojelavičiaus g. 20;UAB Priemiestis;Administravimas;2018-12-18 Nr. 30-3860/18(2.1.1E-TD2);2023-12-18;Gyvenamoji (trys ir daugiau butų);1094-0086-8015;89.59;79.32;1940;;Nerenovuotas;;3;0;1A1m;0.20
3541;A. Kojelavičiaus g. 204;UAB Priemiestis;Administravimas;2018-12-18 Nr. 30-3860/18(2.1.1E-TD2);2023-12-18;Gyvenamoji (trys ir daugiau butų);1095-4002-0011;440.64;370.17;1954;;Nerenovuotas;;8;0;1A2p;0.00
3542;A. Kojelavičiaus g. 210;UAB Priemiestis;Administravimas;2018-12-18 Nr. 30-3860/18(2.1.1E-TD2);2023-12-18;Gyvenamoji (trys ir daugiau butų);1094-0098-2012;387.47;249.78;1940;;Nerenovuotas;;4;1;1A3p;0.00
3543;A. Kojelavičiaus g. 212;UAB Priemiestis;Administravimas;2018-12-18 Nr. 30-3860/18(2.1.1E-TD2);2023-12-18;Gyvenamoji (trys ir daugiau butų);1094-0098-3017;139.01;137.00;1940;;Nerenovuotas;;3;0;1A1m;0.11
3544;A. Kojelavičiaus g. 216;UAB Priemiestis;Administravimas;2018-12-18 Nr. 30-3860/18(2.1.1E-TD2);2023-12-18;Gyvenamoji (trys ir daugiau butų);1095-2001-4017;259.00;212.70;1952;;Nerenovuotas;;4;0;1A2p;0.10
3545;A. Kojelavičiaus g. 218;UAB Priemiestis;Administravimas;2018-12-18 Nr. 30-3860/18(2.1.1E-TD2);2023-12-18;Gyvenamoji (trys ir daugiau butų);1095-2001-5014;263.03;217.95;1952;;Nerenovuotas;;4;0;1A2p;0.14
