id;adresas;namo_valdytojas;valdymo_forma;paskyrimo_pagrindas;administratoriaus_pabaigos_Data;paskirtis;uni_nr;bendr_plotas;naud_plotas;build_year;renov_metai;renovacijos_statusas;energ_naudingumo_klase;butu_skaicius;negyvenamuju_palapu_skaicius;korpusas;sklypo_plotas
1;A. Goštauto g. 2;286-oji gyvenamojo namo A.Goštauto g. 2/15 savininkų bendrija;Bendrija;1995.02.02;;Gyvenamoji (trys ir daugiau butų);1096-0010-4010;6607.43;4360.68;1960;;Nerenovuotas;;53;4;1A7p;0.00
2;A. Goštauto g. 3;DNSB NERIES VINGIS;Bendrija;2009.04.10;;Gyvenamoji (trys ir daugiau butų);1095-7003-6016;4304.17;2771.57;1957;;Nerenovuotas;;38;14;1A5p;0.15
3;A. Jakšto g. 11;48-oji daugiabučio namo savininkų bendrija;Bendrija;1993.06.10;;Gyvenamoji (trys ir daugiau butų);1094-0000-5038;182.92;123.47;1940;;Nerenovuotas;;2;2;3A2p;0.00
4;A. Jakšto g. 2;616-oji daugiabučio namo savininkų bendrija;Bendrija;2013.06.20;;Gyvenamoji (trys ir daugiau butų);1093-8001-0026;600.71;0.00;1938;;Nerenovuotas;;4;3;2A3p;0.00
5;A. Jakšto g. 6A;Daugiabučio namo A. Jakšto g. 6A / Kaštonų g. 8, Vilniuje savininkų bendrija;Bendrija;2006.07.01;;Gyvenamoji (trys ir daugiau butų);4400-0361-5805;0.00;3531.56;2006;;Nerenovuotas;;40;8;1A6b;0.15
6;A. Juozapavičiaus g. 10;Daugiabučio namo A. Juozapavičiaus g. Nr. 10, Vilniuje savininkų bendrija;Bendrija;2005.08.24;;Gyvenamoji (trys ir daugiau butų);1094-0002-6028;984.89;612.82;1940;2017;Renovuotas;;10;3;2A3p;0.00
7;A. Juozapavičiaus g. 28;Daugiabučio gyvenamojo namo A. Juozapavičiaus g. 28 savininkų bendrija;Bendrija;1993.09.23;;Gyvenamoji (trys ir daugiau butų);1095-5000-1010;1681.36;0.00;1955;2017;Renovuotas;D;18;5;1A3p;0.00
8;A. Kojelavičiaus g. 45;Daugiabučio namo A. Kojelavičiaus g. 45 savininkų bendrija;Bendrija;2008.04.17;;Gyvenamoji (trys ir daugiau butų);1095-9003-9017;1070.69;622.45;1959;;Renovuojamas;;13;1;1A2p;0.00
9;A. Kojelavičiaus g. 92;Daugiabučio gyvenamojo namo Kojelavičiaus g. Nr. 92 savininkų bendrija;Bendrija;2012.12.12;;Gyvenamoji (trys ir daugiau butų);4400-2080-9290;0.00;615.30;1953;;Nerenovuotas;;11;1;5A2p;0.20
10;A. Mickevičiaus g. 32;137-oji daugiabučio namo savininkų bendrija;Bendrija;1993.11.11;;Gyvenamoji (trys ir daugiau butų);1097-2000-1014;0.00;2489.03;1972;;Nerenovuotas;E;24;0;1A6p;0.00
11;A. Paškevič-Ciotkos g. 15;843-oji daugiabučio namo savininkų bendrija;Bendrija;2002.02.11;;Gyvenamoji (trys ir daugiau butų);1094-0222-5032;1465.63;1176.41;1996;;Nerenovuotas;;19;0;3A5p;0.00
12;A. Paškevič-Ciotkos g. 15;843-oji daugiabučio namo savininkų bendrija;Bendrija;2002.02.11;;Gyvenamoji (trys ir daugiau butų);1094-0222-5021;1254.73;957.28;1995;;Nerenovuotas;;15;0;2A5p;0.00
13;A. Paškevič-Ciotkos g. 20;253-oji daugiabučio namo A. Paškevič-Ciotkos g. 20 savininkų bendrija;Bendrija;1994.08.18;;Gyvenamoji (trys ir daugiau butų);1099-4017-9011;3398.95;2938.59;1994;;Nerenovuotas;;48;0;1A6p;0.00
14;A. Rotundo g. 4A;A. Rotundo g. 4A daugiabučio namo savininkų bendrija;Bendrija;2013.02.01;;Gyvenamoji (trys ir daugiau butų);4400-0952-3200;5171.85;2848.99;2008;;Nerenovuotas;;31;7;4A5p;0.18
15;A. Rotundo g. 5;771-oji daugiabučio namo Rotundo g. 5 savininkų bendrija;Bendrija;2001.06.11;;Gyvenamoji (trys ir daugiau butų);1090-1000-7011;1603.48;1224.79;1901;;Nerenovuotas;;10;3;1A4p;0.00
16;A. Strazdelio g. 1;Daugiabučio namo savininkų bendrija STRAZDELIO NAMAI;Bendrija;2008.01.30;;Gyvenamoji (trys ir daugiau butų);1094-0005-1014;2410.56;1983.27;1940;;Nerenovuotas;D;27;4;1A3p;0.00
17;A. Strazdelio g. 4;135-oji daugiabučių namų savininkų bendrija STRAZDAS;Bendrija;1993.12.23;;Gyvenamoji (trys ir daugiau butų);1094-0005-2017;1213.40;966.56;1940;;Nerenovuotas;;13;1;1A4p;0.00
18;A. Vienuolio g. 14;810-oji daugiabučio namo savininkų bendrija;Bendrija;2001.11.21;;Gyvenamoji (trys ir daugiau butų);1096-1000-4012;0.00;2986.91;1961;;Nerenovuotas;;51;12;1A6p;0.00
19;A. Vivulskio g. 16;Daugiabučio gyvenamojo namo, A. Vivulskio g. Nr. 16, Vilnius, savininkų bendrija;Bendrija;2013.11.27;;Gyvenamoji (trys ir daugiau butų);1095-5002-8016;0.00;0.00;1955;;Nerenovuotas;;33;7;1A4p;0.00
20;A. Vivulskio g. 20;Daugiabučio namo A. Vivulskio g. 20, Vilniuje, savininkų bendrija;Bendrija;2013.09.16;;Gyvenamoji (trys ir daugiau butų);1095-8007-0011;0.00;3178.90;1958;;Nerenovuotas;;46;6;1A4p;0.00
21;A. Vivulskio g. 27;Daugiabučio namo savininkų bendrija VIVA;Bendrija;2014.12.30;;Gyvenamoji (trys ir daugiau butų);1094-0127-3014;1113.06;806.93;1940;;Nerenovuotas;;11;1;1A3p;0.00
22;A. Vivulskio g. 3;Daugiabučio namo A. Vivulskio g. 3, Vilniuje savininkų bendrija;Bendrija;2014.08.25;;Gyvenamoji (trys ir daugiau butų);1094-0126-4015;808.15;363.99;1940;;Nerenovuotas;;7;10;1A2p;0.58
23;A. Vivulskio g. 35;545-oji daugiabučio namo A.Vivulskio g. 35 savininkų bendrija;Bendrija;1996.12.11;;Gyvenamoji (įvairioms socialinėms grupėms);1097-4004-3014;2933.44;2262.93;1974;;Nerenovuotas;;84;0;1N5p;0.00
24;A. Vivulskio g. 4;Daugiabučio namo A. Vivulskio g. 4, Vilniuje savininkų bendrija;Bendrija;2006.08.30;;Gyvenamoji (trys ir daugiau butų);1094-0126-5012;1935.40;1387.75;1940;;Nerenovuotas;;19;3;1A3p;0.00
25;Adutiškio g. 5;978-oji daugiabučio namo savininkų bendrija;Bendrija;2003.10.22;;Gyvenamoji (įvairioms socialinėms grupėms);1094-0005-6017;1622.03;1304.93;1940;2016;Renovuotas;B;29;1;1N4p;0.00
26;Aguonų g. 20;Daugiabučio namo Aguonų g. 20 savininkų bendrija;Bendrija;2008.02.26;;Gyvenamoji (trys ir daugiau butų);1095-8000-6010;2423.40;1940.86;1958;;Nerenovuotas;;71;0;1N4p;0.00
27;Akmenų g. 1;118-oji daugiabučio namo savininkų bendrija;Bendrija;1993.10.07;;Gyvenamoji (trys ir daugiau butų);1096-8000-5016;1932.25;1638.42;1968;;Nerenovuotas;;20;0;1A5p;0.00
28;Algirdo g. 53;772-oji daugiabučio namo savininkų bendrija;Bendrija;2001.06.18;;Gyvenamoji (trys ir daugiau butų);1094-0011-5019;407.92;257.68;1940;;Nerenovuotas;B;6;3;1A2p;0.00
29;Antakalnio g. 30;749-oji daugiabučio namo Antakalnio g. 30 savininkų bendrija;Bendrija;2001.02.22;;Gyvenamoji (trys ir daugiau butų);1094-0016-5011;1548.45;1103.96;1940;;Nerenovuotas;;17;3;1A3p;0.00
30;Antakalnio g. 50;Daugiabučio namo Antakalnio g. 50, Vilniuje savininkų bendrija;Bendrija;2008.10.28;;Gyvenamoji (trys ir daugiau butų);1097-5000-3011;4959.17;0.00;1975;2016;Renovuotas;B;61;2;1A13p;0.00
31;Antakalnio g. 58;Vilniaus Antakalnio gatvės daugiabučio namo Nr. 58 savininkų bendrija;Bendrija;2011.12.16;;Gyvenamoji (trys ir daugiau butų);1096-3000-5015;0.00;1724.56;1963;;Nerenovuotas;;40;1;1A5p;0.00
32;Antakalnio g. 62;175-oji daugiabučio namo savininkų bendrija;Bendrija;1994.01.06;;Gyvenamoji (trys ir daugiau butų);1096-8000-9016;2331.87;1775.71;1968;;Nerenovuotas;;32;1;1A5p;0.00
33;Antakalnio g. 68;51-oji daugiabučio namo savininkų bendrija;Bendrija;1993.06.24;;Gyvenamoji (trys ir daugiau butų);1096-8001-0015;3612.65;3220.06;1968;;Nerenovuotas;;107;1;1A9p;0.00
34;Antakalnio g. 69;442-oji daugiabučių namų savininkų bendrija ŠILAS;Bendrija;1996.01.25;;Gyvenamoji (trys ir daugiau butų);1096-3000-9015;2072.99;0.00;1963;2007;Renovuotas;;40;1;1A5p;0.00
35;Antakalnio g. 83;212-oji daugiabučio namo savininkų bendrija MOKSLAS;Bendrija;1994.04.07;;Gyvenamoji (trys ir daugiau butų);1096-4001-0019;0.00;3144.84;1964;2006;Dalinė renovacija;;55;0;1A4p;0.00
36;Antakalnio g. 84;959-oji daugiabučio namo savininkų bendrija;Bendrija;2003.07.31;;Gyvenamoji (trys ir daugiau butų);1300-0083-4014;0.00;999.48;2001;;Nerenovuotas;;16;16;1A5p;0.00
37;Antakalnio g. 84;959-oji daugiabučio namo savininkų bendrija;Bendrija;2003.07.31;;Gyvenamoji (trys ir daugiau butų);1300-0083-4047;3568.32;2573.03;2002;;Nerenovuotas;;36;16;2A9p;0.00
38;Antakalnio g. 85;226-oji daugiabučio namo savininkų bendrija;Bendrija;1994.06.02;;Gyvenamoji (trys ir daugiau butų);1096-4001-1016;2881.47;2469.62;1964;;Nerenovuotas;;61;0;1A5p;0.00
39;Antakalnio g. 89;274-oji daugiabučio namo Antakalnio g. 89 savininkų bendrija IVETTA;Bendrija;1994.12.08;;Gyvenamoji (trys ir daugiau butų);1096-0001-1014;0.00;651.39;1960;;Nerenovuotas;;12;0;1A3p;0.00
40;Antakalnio g. 90;97-oji daugiabučio namo savininkų bendrija Spindulys;Bendrija;1993.11.05;;Gyvenamoji (trys ir daugiau butų);1096-7000-8014;2333.78;0.00;1967;;Nerenovuotas;;32;1;1A5p;0.00
41;Antakalnio g. 95;239-oji daugiabučio namo savininkų bendrija SAULUTĖ;Bendrija;1994.09.15;;Gyvenamoji (trys ir daugiau butų);1096-6001-1014;3097.27;2602.02;1966;;Galimai renovuotųsi;;45;1;1A5p;0.00
42;Antakalnio g. 96;63-oji daugiabučio namo savininkų bendrija;Bendrija;1993.08.05;;Gyvenamoji (trys ir daugiau butų);1096-8001-1012;3480.73;3133.47;1968;;Renovuojamas;E;108;1;1A9p;0.00
43;Antakalnio g. 97;Daugiabučio namo, esančio Antakalnio g. 97, Vilniuje, savininkų bendrija;Bendrija;2004.10.27;;Gyvenamoji (trys ir daugiau butų);1096-6001-2011;3081.05;2626.25;1966;;Nerenovuotas;;45;3;1A5p;0.00
44;Antano Tumėno g. 4;Antano Tumėno g. 4 daugiabučio namo savininkų bendrija;Bendrija;2010.09.15;;Gyvenamoji (trys ir daugiau butų);4400-0620-6540;14701.18;3714.93;2007;;Nerenovuotas;;24;38;1B18t;0.00
45;Architektų g. 105;551-oji daugiabučio namo savininkų bendrija;Bendrija;1997.01.17;;Gyvenamoji (trys ir daugiau butų);1097-0003-5016;5968.56;0.00;1970;;Nerenovuotas;D;90;0;1A5b;0.00
46;Architektų g. 132;454-oji daugiabučio namo savininkų bendrija;Bendrija;1996.02.13;;Gyvenamoji (trys ir daugiau butų);1097-1002-0016;6263.10;0.00;1971;2010;Renovuotas;C;108;1;1A9b;0.00
47;Architektų g. 168;430-oji daugiabučio namo savininkų bendrija;Bendrija;1996.01.18;;Gyvenamoji (trys ir daugiau butų);1097-1002-5024;0.00;3270.50;1971;;Nerenovuotas;;60;0;1A5b;0.00
48;Architektų g. 176;490-oji daugiabučio namo savininkų bendrija;Bendrija;1996.04.17;;Gyvenamoji (trys ir daugiau butų);1097-1002-7019;0.00;8259.34;1971;;Nerenovuotas;;151;0;1A5b;0.00
49;Architektų g. 180;453-oji daugiabučių namų savininkų bendrija;Bendrija;1996.02.13;;Gyvenamoji (trys ir daugiau butų);1097-4001-5016;0.00;5698.63;1974;;Nerenovuotas;;109;0;1A9b;0.00
50;Architektų g. 194;671-oji daugiabučio namo savininkų bendrija;Bendrija;1999.09.10;;Gyvenamoji (trys ir daugiau butų);1097-0004-7018;7839.28;6543.49;1970;;Nerenovuotas;;121;0;1A5b;0.00
51;Architektų g. 196;199-oji daugiabučio namo savininkų bendrija DYGLYS;Bendrija;1994.02.24;;Gyvenamoji (trys ir daugiau butų);1097-0004-8015;3822.09;3204.94;1970;;Nerenovuotas;;60;0;1A5b;0.00
52;Architektų g. 200;450-oji daugiabučio namo savininkų bendrija;Bendrija;1996.02.09;;Gyvenamoji (trys ir daugiau butų);1097-1003-2018;3825.47;3205.70;1971;;Nerenovuotas;;60;0;1A5b;0.00
53;Architektų g. 212;493-oji daugiabučio namo savininkų bendrija;Bendrija;1996.04.24;;Gyvenamoji (trys ir daugiau butų);1097-0005-1010;5980.20;4989.50;1970;;Nerenovuotas;;90;0;1A5b;0.66
54;Architektų g. 220;901-oji DNSB;Bendrija;2002.12.17;;Gyvenamoji (trys ir daugiau butų);1097-2001-8013;3568.55;3298.33;1972;;Nerenovuotas;F;62;1;1A12b;0.00
55;Architektų g. 27;511-oji daugiabučių namų savininkų bendrija;Bendrija;1996.06.28;;Gyvenamoji (trys ir daugiau butų);1096-9001-4010;2057.50;1725.82;1969;;Nerenovuotas;;30;0;1A5b;0.00
56;Architektų g. 51;76-oji daugiabučio namo savininkų bendrija;Bendrija;1993.08.12;;Gyvenamoji (trys ir daugiau butų);1097-0002-1010;0.00;5154.15;1970;;Nerenovuotas;;90;0;1A5b;0.00
57;Architektų g. 64;105-oji daugiabučio namo savininkų bendrija;Bendrija;1993.09.30;;Gyvenamoji (trys ir daugiau butų);1097-0002-6017;6174.00;0.00;1970;;Nerenovuotas;;108;0;1A9b;0.00
58;Architektų g. 67;Daugiabučio namo Architektų g. Nr. 67, Vilniuje savininkų bendrija;Bendrija;2007.02.01;;Gyvenamoji (trys ir daugiau butų);1098-0000-6017;6237.13;5731.41;1980;;Nerenovuotas;D;3;0;1A16t;0.00
59;Architektų g. 91;413-oji daugiabučio namo savininkų bendrija;Bendrija;1995.12.21;;Gyvenamoji (trys ir daugiau butų);1098-4000-3010;6127.47;5734.22;1984;2008;Renovuotas;;64;1;1A16t;0.00
60;Ateities g. 3;Daugiabučio namo Ateities g. 3B, Vilnius savininkų bendrija;Bendrija;2009.03.27;;Gyvenamoji (trys ir daugiau butų);1098-6000-6022;1994.25;1766.51;1986;;Nerenovuotas;;30;0;2A7p;0.00
61;Ateities g. 5;Daugiabučio namo Ateities g. 5, 2A7p korpuso, Vilniuje savininkų bendrija;Bendrija;2006.08.21;;Gyvenamoji (trys ir daugiau butų);1098-5000-5042;1947.75;0.00;1985;;Nerenovuotas;C;30;0;2A7p;0.00
62;Ateities g. 7;Daugiabučio namo Ateities g. 7 savininkų bendrija;Bendrija;2010.12.07;;Gyvenamoji (trys ir daugiau butų);1098-1000-4016;2429.15;2202.50;1981;;Nerenovuotas;D;38;0;1A9p;0.00
63;Ateities g. 77;Daugiabučio namo savininkų bendrija Ateities 77;Bendrija;2015.10.15;;Gyvenamoji (trys ir daugiau butų);1300-2037-8018;8784.89;7323.64;2002;;Nerenovuotas;;104;45;1A5p;0.00
64;Aušros Vartų g. 20;Aušros Vartų g. Nr.20 daugiabučių namų savininkų bendrija;Bendrija;2012.03.02;;Gyvenamoji (trys ir daugiau butų);1094-0025-2019;1555.62;1287.18;1940;;Nerenovuotas;;23;3;1A3p;0.00
65;Aušros Vartų g. 7C;710-oji daugiabučio namo savininkų bendrija;Bendrija;2000.05.09;;Gyvenamoji (trys ir daugiau butų);1001-7000-1045;202.82;130.74;1940;;Nerenovuotas;;3;2;4A2p;0.00
66;Avižų g. 2;944-oji daugiabučio namo savininkų bendrija;Bendrija;2003.07.29;;Gyvenamoji (trys ir daugiau butų);1099-9009-0089;1306.73;1283.95;2002;;Nerenovuotas;;19;4;8A4p;0.00
67;Bajorų kel. 19;Daugiabučio namo Bajorų kelias 19, Vilniuje, savininkų bendrija;Bendrija;2009.04.22;;Gyvenamoji (trys ir daugiau butų);4400-0876-6518;7818.22;6177.83;2008;;Nerenovuotas;C;82;1;1A11b;0.41
68;Bajorų kel. 9;DNSB Bajorų kelias 9;Bendrija;2013.03.20;;Gyvenamoji (trys ir daugiau butų);4400-2212-9617;2845.70;2246.42;2013;;Nerenovuotas;A;44;19;1A4p;0.70
69;Baltosios Vokės g. 4;544-oji daugiabučio namo B.Vokės g. 4 savininkų bendrija;Bendrija;1996.12.11;;Gyvenamoji (įvairioms socialinėms grupėms);1098-0000-9010;2508.47;2178.65;1980;;Nerenovuotas;;78;1;1N5p;0.00
70;Baltupio g. 73;Daugiabučio namo Baltupio g. 73 savininkų bendrija;Bendrija;2013.08.14;;Gyvenamoji (trys ir daugiau butų);1099-3036-0015;2786.05;0.00;1997;;Nerenovuotas;;35;0;1A5p;0.00
71;Balžio g. 21;763-oji daugiabučių namų savininkų bendrija ŠILAS;Bendrija;2001.05.04;;Gyvenamoji (trys ir daugiau butų);1096-0002-7010;2057.23;1969.83;1960;;Nerenovuotas;;13;0;1A2p;0.00
72;Bazilijonų g. 8;410-oji daugiabučio namo Bazilijonų g. 8 savininkų bendrija;Bendrija;1995.12.20;;Gyvenamoji (trys ir daugiau butų);1094-0034-9014;664.21;447.81;1940;;Nerenovuotas;;9;0;1A2p;0.00
73;Beržyno g. 4;712-oji daugiabučio namo savininkų bendrija;Bendrija;2000.05.22;;Gyvenamoji (vieno buto pastatai);1096-0003-7018;368.02;278.02;1960;;Nerenovuotas;F;1;0;1A2p;0.00
74;Beržyno g. 7;436-oji daugiabučio namo Beržyno g. 7 savininkų bendrija;Bendrija;1996.01.25;;Gyvenamoji (trys ir daugiau butų);1096-8001-8015;3255.33;2705.87;1968;;Nerenovuotas;;40;0;1A5p;0.00
75;Birželio 23-iosios g. 15;Birželio 23-osios g. 15 daugiabučio namo savininkų bendrija;Bendrija;2011.12.14;;Gyvenamoji (trys ir daugiau butų);4400-1455-8962;5565.57;3206.45;2009;;Nerenovuotas;B;43;11;2A7b;0.00
76;Bitėnų g. 10;826-oji daugiabučio namo savininkų bendrija;Bendrija;2002.01.07;;Gyvenamoji (trys ir daugiau butų);1399-5007-4018;3085.01;2377.62;2000;;Nerenovuotas;;28;28;1A5p;0.00
77;Bitėnų g. 11;839-oji daugiabučio namo savininkų bendrija;Bendrija;1995.11.08;;Gyvenamoji (trys ir daugiau butų);4199-4029-5015;2560.76;1769.69;1994;;Nerenovuotas;;16;12;1A3p;0.00
78;Bitėnų g. 5;948-oji daugiabučio namo savininkų bendrija;Bendrija;1998.06.08;;Gyvenamoji (trys ir daugiau butų);4199-4028-9019;0.00;2035.49;1996;;Nerenovuotas;;17;14;1A3p;0.00
79;Bitėnų g. 8;730-oji  daugiabučio namo savininkų bendrija;Bendrija;2000.10.18;;Gyvenamoji (trys ir daugiau butų);1300-0009-4018;0.00;2330.98;2000;;Nerenovuotas;;24;15;1A4p;0.00
80;Bitininkų g. 14;41-oji daugiabučio namo Bitininkų g. 14 savininkų bendrija;Bendrija;1993.06.10;;Gyvenamoji (trys ir daugiau butų);1099-3029-2014;4616.27;3717.89;1993;;Nerenovuotas;;41;0;1A6p;0.00
81;Bitininkų g. 2A;Bitininkų 2A daugiabučio gyvenamojo namo savininkų bendrija;Bendrija;2015.05.04;;Gyvenamoji (trys ir daugiau butų);1098-9000-3011;1959.28;0.00;1989;2016;Renovuotas;;30;0;1A7p;0.00
82;Blindžių g. 31;Daugiabučio namo Blindžių g. 31, Vilniuje savininkų bendrija;Bendrija;2004.11.25;;Gyvenamoji (trys ir daugiau butų);1098-2001-2011;2347.23;1853.35;1982;2009;Renovuotas;C;16;1;1A4p;0.00
83;Blindžių g. 35;818-oji daugiabučio namo savininkų bendrija;Bendrija;2001.12.17;;Gyvenamoji (trys ir daugiau butų);1098-5001-1017;2351.26;1846.23;1985;;Nerenovuotas;;16;0;1A4p;0.00
84;Bokšto g. 14;966-oji daugiabučio namo savininkų bendrija;Bendrija;2003.09.05;;Gyvenamoji (trys ir daugiau butų);1094-0043-5018;581.44;348.99;1940;;Nerenovuotas;;6;1;1A2p;0.00
85;Braškių g. 30;576-oji daugiabučių namų savininkų bendrija;Bendrija;1997.06.24;;Gyvenamoji (trys ir daugiau butų);1099-6033-9015;2977.38;2418.97;1996;;Nerenovuotas;;34;0;1A5p;0.00
86;Brolių g. 16;Vilniaus miesto daugiabučio gyvenamojo namo savininkų bendrija Brolių 16;Bendrija;2014.12.05;;Gyvenamoji (trys ir daugiau butų);1097-7001-0014;1661.83;1081.94;1977;;Nerenovuotas;C;18;15;1A2p;1.10
87;Buivydiškių g. 6;Daugiabučio namo Buivydiškių g. Nr. 6, Vilniuje savininkų bendrija;Bendrija;2005.05.02;;Gyvenamoji (įvairioms socialinėms grupėms);1098-6001-2019;7259.89;6119.49;1986;;Nerenovuotas;;110;5;1N9p;0.45
88;Bukčių g. 39;803-oji daugiabučio namo savininkų bendrija;Bendrija;2001.10.29;;Gyvenamoji (trys ir daugiau butų);1096-1004-4016;853.38;547.29;1961;;Nerenovuotas;E;12;2;1A2p;0.00
89;Bukčių g. 72;867-oji daugiabučio namo savininkų bendrija;Bendrija;2002.06.21;;Gyvenamoji (trys ir daugiau butų);1098-3001-1019;795.38;555.60;1983;;Nerenovuotas;;10;1;1A3p;0.00
90;Bukčių g. 78;807-oji daugiabučio namo savininkų bendrija;Bendrija;2001.11.19;;Gyvenamoji (trys ir daugiau butų);1098-6001-4013;784.57;0.00;1986;2015;Renovuotas;B;10;1;1A3p;0.00
91;Darbininkų g. 19;519-oji daugiabučio namo savininkų bendrija;Bendrija;1996.08.22;;Gyvenamoji (trys ir daugiau butų);1096-5020-2012;3088.10;3063.46;1965;2017;Renovuotas;E;124;0;1A4p;0.51
92;Dariaus ir Girėno g. 9;428-oji daugiabučio namo savininkų bendrija NAUJININKAI;Bendrija;1996.01.18;;Gyvenamoji (trys ir daugiau butų);1097-5001-6010;4503.10;4091.88;1975;2016;Renovuotas;;59;1;1A12p;0.00
93;Daugėliškio g. 3;Daugiabučio namo Daugėliškio g. 3 savininkų bendrija;Bendrija;2011.05.25;;Gyvenamoji (trys ir daugiau butų);1094-0149-3074;4362.44;2974.94;2004;;Nerenovuotas;;40;33;7A4p;0.59
94;Debesijos g. 1;252-oji daugiabučio namo savininkų bendrija DEBESIJA;Bendrija;1994.08.18;;Gyvenamoji (trys ir daugiau butų);1097-3010-8017;3604.25;2987.38;1973;;Nerenovuotas;;50;0;1A5p;0.00
95;Didlaukio g. 21;897-oji daugiabučio namo savininkų bendrija;Bendrija;2002.11.25;;Gyvenamoji (trys ir daugiau butų);1099-3001-1011;2949.34;2718.25;1993;;Nerenovuotas;D;40;0;1A10p;0.00
96;Didlaukio g. 42;;Bendrija;;;Gyvenamoji (trys ir daugiau butų);1097-9002-0010;2065.42;1727.70;1979;2007;Dalinė renovacija;;29;1;1A5b;0.00
97;Didžioji g. 14;873-oji daugiabučio namo savininkų bendrija;Bendrija;2002.07.26;;Gyvenamoji (trys ir daugiau butų);1094-0054-3039;1136.29;777.63;1940;;Nerenovuotas;;7;1;3A3p;0.07
98;Didžioji g. 6;278-oji daugiabučio namo savininkų bendrija;Bendrija;1994.12.08;;Gyvenamoji (trys ir daugiau butų);1094-0053-7018;1098.34;585.22;1940;;Nerenovuotas;;7;5;1A3p;0.00
99;Džiaugsmo g. 13;Daugiabučio namo Džiaugsmo g. 13 butų savininkų bendrija;Bendrija;2008.09.25;;Gyvenamoji (trys ir daugiau butų);1094-0065-4017;140.70;140.70;1940;;Nerenovuotas;;3;0;1A1m;0.00
100;Džiaugsmo g. 58B;Daugiabučių namų savininkų bendrija Pavilnio namai;Bendrija;2008.08.26;;Gyvenamoji (trys ir daugiau butų);4400-0876-5286;433.50;433.50;2008;;Nerenovuotas;;4;0;1A2p;0.00
101;Dzūkų g. 4;Daugiabučio gyvenamojo namo Dzūkų g. 4, Vilniuje savininkų bendrija;Bendrija;2015.09.17;;Gyvenamoji (trys ir daugiau butų);1094-0062-9014;591.25;473.75;1952;;Nerenovuotas;;9;0;4A2p;0.00
102;Eglių g. 33;Daugiabučio namo Eglių g. 33 savininkų bendrija;Bendrija;2007.11.28;;Gyvenamoji (trys ir daugiau butų);1094-0067-7023;1562.00;1052.87;2004;;Nerenovuotas;;20;1;5A5p;0.00
103;Elniakampio g. 12;841-oji daugiabučio namo savininkų bendrija;Bendrija;2002.02.04;;Gyvenamoji (trys ir daugiau butų);1094-0227-7130;1414.58;963.67;1940;;Nerenovuotas;;11;13;17A2p;0.00
104;Elniakampio g. 19;Daugiabučio namo Maudyklos g. 5E savininkų bendrija;Bendrija;2008.04.30;;Gyvenamoji (trys ir daugiau butų);4400-0506-1536;1732.16;0.00;2007;;Nerenovuotas;;7;1;2A2p;0.00
105;Elniakampio g. 7;DNSB Elniakampio g. 7;Bendrija;2012.03.09;;Gyvenamoji (trys ir daugiau butų);4400-2113-4921;1663.59;1198.89;2012;;Nerenovuotas;;15;18;2A2t;0.10
106;Fabijoniškių g. 3;566-oji daugiabučio namo Fabijoniškių g. 3 savininkų bendrija;Bendrija;1997.06.24;;Gyvenamoji (trys ir daugiau butų);1099-5021-6018;7724.82;7257.59;1995;;Nerenovuotas;;79;3;1A16t;0.00
107;Fabijoniškių g. 3B;Daugiabučio gyvenamojo namo Fabijoniškių g. 3B savininkų bendrija;Bendrija;2015.10.15;;Gyvenamoji (trys ir daugiau butų);4400-3130-1247;10171.88;7087.70;2015;;Nerenovuotas;B;127;2;1A9b;0.00
108;Fabijoniškių g. 95;56-oji gyvenamojo namo statybos bendrija;Bendrija;1993.08.05;;Gyvenamoji (trys ir daugiau butų);1099-4016-2012;7571.60;7087.84;1994;;Nerenovuotas;D;80;1;1A16t;0.00
109;Filaretų g. 35;Daugiabučio namo savininkų bendrija Filaretų g. 35;Bendrija;2006.08.24;;Gyvenamoji (trys ir daugiau butų);4400-0359-1096;7675.00;5599.55;2006;;Nerenovuotas;;77;24;4Atb;0.00
110;Fizikų g. 10;Daugiabučio namo Fizikų g. Nr. 10 savininkų bendrija;Bendrija;2012.04.06;;Gyvenamoji (trys ir daugiau butų);4400-1002-4720;6913.45;5372.61;2007;;Nerenovuotas;C;88;2;1A9b;0.48
111;Fizikų g. 16;Daugiabučio namo Fizikų g. 16 savininkų bendrija;Bendrija;2009.12.14;;Gyvenamoji (trys ir daugiau butų);4400-1002-4809;6952.70;5389.84;2008;;Nerenovuotas;C;80;2;1A9b;0.48
112;Fizikų g. 4;Daugiabučių namų Fizikų g. 4 ir 6, Vilniuje, savininkų bendrija;Bendrija;2009.04.10;;Gyvenamoji (trys ir daugiau butų);4400-0970-4529;4466.72;2659.27;2008;;Nerenovuotas;;48;1;1A4b;0.57
113;Fizikų g. 6;Daugiabučių namų Fizikų g. 4 ir 6, Vilniuje, savininkų bendrija;Bendrija;2009.04.10;;Gyvenamoji (trys ir daugiau butų);4400-1631-1248;5289.10;3105.90;2008;;Nerenovuotas;B;56;54;2A4b;0.00
114;Gabijos g. 2;70-oji daugiabučio namo Gabijos g. 2 savininkų bendrija;Bendrija;1993.08.12;;Gyvenamoji (trys ir daugiau butų);1099-5021-4014;5516.42;5015.62;1995;;Nerenovuotas;;72;1;1A9t;0.00
